"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9","test_request_without_header_authorization[api_client_wallet-<lambda>1]","tests.Middleware","Mon Sep 01 15:00:32 UTC 2025","passed","Mon Sep 01 15:00:32 UTC 2025","TestMiddlewareNegative","test_user_wallet_subscription_auth_middleware","",""
"","9","test_create_user_invalid_passwords[confirmPassword is empty]","tests.API.User","Mon Sep 01 15:00:07 UTC 2025","passed","Mon Sep 01 15:00:07 UTC 2025","TestCreateUserInvalidValidation","test_create_user","",""
"","20","test_create_user_valid_username[valid_mixed_case]","tests.API.User","Mon Sep 01 15:00:06 UTC 2025","passed","Mon Sep 01 15:00:06 UTC 2025","TestCreateUserValidValidation","test_create_user","",""
"","13","test_update_user_invalid_email[ends_with_dot]","tests.API.User","Mon Sep 01 15:00:30 UTC 2025","passed","Mon Sep 01 15:00:30 UTC 2025","TestUpdateUserInvalidValidation","test_update_user","",""
"","557","test_update_user_valid_username[valid_with_underscore]","tests.API.User","Mon Sep 01 15:00:13 UTC 2025","passed","Mon Sep 01 15:00:13 UTC 2025","TestUpdateUserValidValidation","test_update_user","",""
"","9","test_request_wrong_header_authorization[api_client_wallet-<lambda>0]","tests.Middleware","Mon Sep 01 15:00:32 UTC 2025","passed","Mon Sep 01 15:00:32 UTC 2025","TestMiddlewareNegative","test_user_wallet_subscription_auth_middleware","",""
"","27","test_login_user_with_wrong_password_for_email_in_db","tests.API.User","Mon Sep 01 15:00:10 UTC 2025","passed","Mon Sep 01 15:00:10 UTC 2025","TestLoginUserNegative","test_login_user","",""
"","9","test_request_after_modify_token[api_client_wallet-<lambda>1]","tests.Middleware","Mon Sep 01 15:00:32 UTC 2025","passed","Mon Sep 01 15:00:32 UTC 2025","TestMiddlewareNegative","test_user_wallet_subscription_auth_middleware","",""
"","11","test_upload_invalid_avatar_extension[msi]","tests.API.User","Mon Sep 01 15:00:31 UTC 2025","passed","Mon Sep 01 15:00:31 UTC 2025","TestUploadAvatarNegative","test_upload_avatar_user","",""
"","15","test_update_user_invalid_username[quote_in_username]","tests.API.User","Mon Sep 01 15:00:29 UTC 2025","passed","Mon Sep 01 15:00:30 UTC 2025","TestUpdateUserInvalidValidation","test_update_user","",""
